feature,importance
Morgan_1399,0.00022235808979848516
Morgan_1915,0.000222096128247472
Morgan_95,0.00022028386281822623
Morgan_1350,0.00021803342052496768
Morgan_1066,0.0002177622024017838
Morgan_1766,0.0002168871524973019
Morgan_1921,0.00021642052245652018
Morgan_1765,0.00021402959824042014
Morgan_767,0.00021322933041377577
Morgan_1594,0.0002124667907141474
Morgan_241,0.0002121660498414891
Morgan_1542,0.00021007555629856353
Morgan_552,0.00021005109451084053
Morgan_1571,0.00020874282091028567
Morgan_1733,0.0002079978617107478
Morgan_832,0.00020799166261298833
Morgan_1517,0.00020694742350337427
Morgan_1603,0.0002067129335862367
Morgan_1102,0.00020525181879500748
Morgan_1941,0.00020476726303667527
Morgan_1077,0.0002039895766502267
Morgan_831,0.0002033442320906501
Morgan_643,0.00020309278100496766
Morgan_1954,0.00020137811411015253
Morgan_1739,0.00020016634163191305
Morgan_1164,0.00019927625373805988
Morgan_784,0.000198577825902719
Morgan_145,0.00019819241937180088
Morgan_858,0.00019578421324136904
Morgan_649,0.00019486837084338563
Morgan_974,0.00019443885628738988
Morgan_2032,0.00019398486484265427
Morgan_1845,0.0001929857110455156
Morgan_1932,0.0001924066385829289
Morgan_10,0.00019213882653689905
Morgan_461,0.0001914400061548679
Morgan_214,0.00019072383097353416
Morgan_1849,0.00018936107386380784
Morgan_1535,0.0001869764940410008
Morgan_1951,0.00018562891025217482
Morgan_692,0.0001845044969900536
Morgan_1794,0.00018358181655389992
Morgan_1979,0.00018321159040387742
Morgan_1582,0.00018248480334998374
Morgan_1949,0.00018238878531313038
Morgan_519,0.00018166370338658095
Morgan_334,0.00018113125291943516
Morgan_1984,0.00018024674061067672
Morgan_1779,0.00017903871606847772
Morgan_1892,0.00017900528331977304
Morgan_1923,0.00017811375453493275
Morgan_1573,0.00017741191958171187
Morgan_1279,0.00017566543703749195
Morgan_504,0.00017516661752584948
Morgan_1306,0.0001740089609837501
Morgan_1931,0.00017358918748023677
Morgan_430,0.00017193902817918785
Morgan_1099,0.0001718394963480563
Morgan_1151,0.00017159310797945022
Morgan_1205,0.0001714825114093054
Morgan_802,0.00017028527504200455
Morgan_1349,0.0001702336970254042
Morgan_2004,0.00017022124845438084
Morgan_983,0.00017008902194246773
Morgan_1589,0.00016824946730954155
Morgan_493,0.00016642528408417764
Morgan_192,0.0001662623377531901
Morgan_1783,0.00016610401320258248
Morgan_1797,0.00016479927300770892
Morgan_132,0.00016470472026899698
Morgan_1853,0.00016418772828327604
Morgan_1143,0.00016301403862854395
Morgan_333,0.00016222782523401302
Morgan_1150,0.00016222738734726305
Morgan_1910,0.00016169457497097989
Morgan_1837,0.00016036954270245827
Morgan_474,0.00016022979632768675
Morgan_679,0.0001599217705534966
Morgan_713,0.00015954602549155835
Morgan_548,0.00015950491063001528
Morgan_438,0.0001590830234630172
Morgan_1560,0.0001589884703258961
Morgan_1549,0.00015867278351528312
Morgan_715,0.0001586677114894583
Morgan_1647,0.00015827918567185804
Morgan_469,0.00015745240983845518
Morgan_1001,0.0001562537004687589
Morgan_197,0.0001557492620618278
Morgan_1195,0.00015493329028280872
Morgan_838,0.00015377516651781948
Morgan_1208,0.000153401226815393
Morgan_1729,0.0001532874619733561
Morgan_1169,0.0001522950892208515
Morgan_2021,0.00015189704018477005
Morgan_1075,0.00015091172634284266
Morgan_742,0.00014857984087000188
Morgan_888,0.00014714247697733006
Morgan_1874,0.00014695656841889453
Morgan_1544,0.0001458146168073849
Morgan_1097,0.00014450055946586116
Morgan_1804,0.00014281243576316527
Morgan_991,0.00014245419210028403
Morgan_223,0.000141472041250424
Morgan_1141,0.00014119767247407536
Morgan_441,0.00014047480271731465
Morgan_1136,0.0001404221193553724
Morgan_1447,0.000140179339515861
Morgan_470,0.00013994543492170414
Morgan_1501,0.00013986154203824555
Morgan_1985,0.00013985226849130868
Morgan_581,0.00013951316319828623
Morgan_1963,0.00013945121433117655
Morgan_325,0.00013887531629390022
Morgan_785,0.00013858385126921344
Morgan_140,0.00013613724980758932
Morgan_1387,0.0001350218201757246
Morgan_1673,0.00013444641139394382
Morgan_84,0.00013378867861460922
Morgan_1922,0.0001334868607701363
Morgan_860,0.0001330711071276012
Morgan_1956,0.00013292310936510444
Morgan_1370,0.0001312966399623588
Morgan_908,0.0001301199643265022
Morgan_94,0.0001300697517378366
Morgan_276,0.0001299923500413052
Morgan_281,0.0001292327158443359
